TRADE_DATE,TICKER,SECTOR,CLOSE_PRICE,DAILY_RETURN,ANNUALIZED_VOLATILITY_20D,MARKET_CAP,REVENUE,NET_INCOME,TTM_REVENUE,TTM_NET_INCOME,NET_MARGIN,REVENUE_YOY_GROWTH,PE_RATIO,PRICE_TO_BOOK,PRICE_TO_SALES,DEBT_TO_ASSETS,SHARES_BASIS,REVENUE_SOURCE
2025-09-09,AAPL,Technology,234.350006104,-0.01483937339,0.1398880377,3567336489559.3,85777000000,21448000000,385603000000,101956000000,0.250043718,0.04865704121,34.988980438,53.476891671,9.251319335,0.7988371953,instant,as_reported
2025-09-09,ABBV,Health Care,210.419998169,0.00300297598,0.1298723203,372653816757.202,,1370000000,,5339000000,,,69.79842981,54.979908049,,,weighted_average,
2025-09-09,ABT,Health Care,131.949996948,-0.0018910907,0.0695012659,231022672906.876,11142000000,1779000000,43109000000,13979000000,0.1596661282,0.07372072853,16.526409107,4.568825727,5.359035768,,weighted_average,as_reported
2025-09-09,ADBE,Technology,354.059997559,-0.01282553409,0.3169045067,160389178894.043,5182000000,620000000,19936000000,4801000000,0.1196449247,0.1132116004,33.407452384,10.374461765,8.045203596,0.4622795729,instant,as_reported
2025-09-09,AMD,Technology,155.820007324,0.02912623707,0.6380518683,252116771850.586,5835000000,265000000,23276000000,1354000000,0.04541559554,0.08882254152,186.201456315,4.459244612,10.831619344,,instant,as_reported
2025-09-09,AMGN,Health Care,279.970001221,-0.0007851389122,0.191620776,150175908654.785,7447000000,-113000000,29532000000,3763000000,-0.01517389553,0.2198198198,39.908559302,29.903605865,5.085192627,,instant,as_reported
2025-09-09,AMZN,Consumer Discretionary,238.240005493,0.01017642975,0.3716995228,2478410777145.39,143313000000,10431000000,590740000000,37684000000,0.07278474388,0.1252767788,65.768251171,11.439118148,4.195434162,,instant,as_reported
2025-09-09,AVGO,Technology,336.670013428,-0.02597992471,0.7959164254,156551556243.896,12487000000,,42619000000,,,0.4298637353,,,3.673280843,0.6007042937,instant,as_reported
2025-09-09,AXP,Financials,324.339996338,-0.003288188785,0.2345318783,233200457366.943,9339000000,2437000000,,8995000000,0.2609487097,0.05573140402,25.925565021,8.107372318,,0.8931742807,instant,as_reported
2025-09-09,BA,Industrials,229.520004272,-0.006191784779,0.09529916452,,,-1439000000,,-3441000000,,,,,,1.125994955,,
2025-09-09,BAC,Financials,50.290000916,0.01678128962,0.2142831472,395624808980.333,25818000000,6674000000,,24818000000,0.2585018204,-0.01675679793,15.941043153,1.347716278,,0.9103330286,instant,as_reported
2025-09-09,BLK,Financials,1105.670043945,0.0006788588839,0.08602717846,,4805000000,1495000000,,6047000000,0.3111342352,,,,,,,as_reported
2025-09-09,BMY,Health Care,47.229999542,0.01091598842,0.2197563188,95829669071.1975,12201000000,1680000000,46509000000,-6541000000,0.1376936317,0.08685195083,,5.632069884,2.060454301,0.8196542907,weighted_average,as_reported
2025-09-09,C,Financials,97.339996338,0.01533316019,0.2709257696,,21668000000,4019000000,,14177000000,0.1854808935,0.08166932907,,,,0.9183573715,,as_reported
2025-09-09,CAT,Industrials,418.089996338,-0.01109332047,0.1607270678,224054429037.476,13798000000,,50971000000,,,0.2281263907,,13.565901492,4.395723628,0.8005145363,instant,derived
2025-09-09,COP,Energy,91.86000061,0.005032789333,0.3034887064,108424195920.41,12307000000,2551000000,48865000000,10588000000,0.2072804095,0.02866934136,10.24029051,2.198159066,2.218851856,0.4826844821,weighted_average,as_reported
2025-09-09,COST,Consumer Staples,979.25,0.007614450805,0.01480528214,434173989500,58515000000,1681000000,,,0.02872767666,0.09072099612,,19.94276742,,0.6794186509,instant,as_reported
2025-09-09,CRM,Technology,252.059997559,-0.0008324990856,0.5097986142,,8720000000,1224000000,33954000000,2592000000,0.1403669725,0.1126706648,,,,0.3618026411,,as_reported
2025-09-09,CSCO,Technology,67.339996338,0.00687799151,0.1642560365,276767384948.73,13102000000,2815000000,51557000000,11812000000,0.2148526942,-0.001828432119,23.43103496,6.958675105,5.368182496,0.576891981,instant,derived
2025-09-09,CVS,Health Care,71.75,0.02120680296,0.471849502,90118000000,,1770000000,,7190000000,,,12.53379694,1.202695849,,0.7025083076,instant,
2025-09-09,CVX,Energy,154.850006104,0.005519712509,0.2230580574,283906801540.375,49574000000,4434000000,197009000000,18751000000,0.08944204623,0.04994069807,15.140888568,1.782964596,1.44108544,0.3851268397,weighted_average,as_reported
2025-09-09,DE,Industrials,475.600006104,-0.01227388469,0.2158073039,,13152000000,1734000000,55984000000,8224000000,0.1318430657,-0.1676476172,,,,0.7853413822,,as_reported
2025-09-09,DHR,Health Care,194.330001831,-0.02164828663,0.184583363,140694921325.684,5743000000,907000000,23568000000,4203000000,0.1579313947,-0.02858592693,33.474880163,2.819707023,5.969743777,,instant,as_reported
